ranking_final_proyecto_v4,proyecto_id,escenario_id,tipo_escenario,dimension_dominante,prioridad_escenario,prioridad_territorial_v4,prioridad_operativa_v4,categoria_cartera_v4,linea_estrategica_v4,horizonte_intervencion_v4,score_final_proyecto_v4
65,AMBA-P043,AMBA-E002,ESCENARIO_ESTRATEGICO,CONECTIVIDAD,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,CONECTIVIDAD_METROPOLITANA,MEDIANO_PLAZO,49.49171547237356
66,AMBA-P050,AMBA-E002,ESCENARIO_ESTRATEGICO,CONECTIVIDAD,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,CONECTIVIDAD_METROPOLITANA,MEDIANO_PLAZO,49.49171547237356
67,AMBA-P056,AMBA-E002,ESCENARIO_ESTRATEGICO,CONECTIVIDAD,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,CONECTIVIDAD_METROPOLITANA,MEDIANO_PLAZO,49.49171547237356
68,AMBA-P060,AMBA-E002,ESCENARIO_ESTRATEGICO,CONECTIVIDAD,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,CONECTIVIDAD_METROPOLITANA,MEDIANO_PLAZO,49.49171547237356
69,AMBA-P061,AMBA-E002,ESCENARIO_ESTRATEGICO,CONECTIVIDAD,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,CONECTIVIDAD_METROPOLITANA,MEDIANO_PLAZO,49.49171547237356
70,AMBA-P065,AMBA-E002,ESCENARIO_ESTRATEGICO,CONECTIVIDAD,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,CONECTIVIDAD_METROPOLITANA,MEDIANO_PLAZO,49.49171547237356
71,AMBA-P071,AMBA-E002,ESCENARIO_ESTRATEGICO,CONECTIVIDAD,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,CONECTIVIDAD_METROPOLITANA,MEDIANO_PLAZO,49.49171547237356
72,AMBA-P072,AMBA-E002,ESCENARIO_ESTRATEGICO,CONECTIVIDAD,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,CONECTIVIDAD_METROPOLITANA,MEDIANO_PLAZO,49.49171547237356
73,AMBA-P078,AMBA-E002,ESCENARIO_ESTRATEGICO,CONECTIVIDAD,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,CONECTIVIDAD_METROPOLITANA,MEDIANO_PLAZO,49.49171547237356
74,AMBA-P085,AMBA-E002,ESCENARIO_ESTRATEGICO,CONECTIVIDAD,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,CONECTIVIDAD_METROPOLITANA,MEDIANO_PLAZO,49.49171547237356
75,AMBA-P092,AMBA-E002,ESCENARIO_ESTRATEGICO,CONECTIVIDAD,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,CONECTIVIDAD_METROPOLITANA,MEDIANO_PLAZO,49.49171547237356
